,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
358,437,41,2366,0,240,3936,5,1724,118,uncategorized
359,435,117,1151,5,707,870,9,2059,149,uncategorized
360,435,551,5327,19,251,8316,6,2060,134,Trap
361,433,88,3565,0,254,2461,9,867,99,uncategorized
362,433,503,1128,19,316,3553,6,1837,121,Newbie
363,433,26,351,0,132,308,12,4259,206,uncategorized
364,433,49,2304,1,250,430,12,2669,101,uncategorized
365,431,46,1306,1,87,248,11,17395,248,Techno
366,431,10,16,5,11,191,4,9632,305,Other
367,431,58,1250,0,172,243,12,7508,167,uncategorized
368,431,39,1657,1,143,549,12,669,69,uncategorized
369,425,65,321,3,654,386,8,256,28,uncategorized
370,424,77,3594,0,45,503,10,315,62,uncategorized
371,423,44,2121,3,95,1303,9,935,98,uncategorized
372,421,62,2257,2,63,1467,9,1129,97,uncategorized
373,421,67,1226,10,153,1656,5,5,0,Funk
374,420,115,142,4,1096,364,7,660,37,uncategorized
375,418,34,1906,2,234,1062,5,1878,75,Bass Music
376,418,33,1446,9,204,641,7,85,15,Hip Hop
377,417,19,826,0,154,219,12,42008,719,uncategorized
378,416,18,1651,1,537,656,10,725,79,uncategorized
379,413,128,841,0,61,2201,10,4996,184,uncategorized
380,412,38,139,3,1125,67,6,200,21,uncategorized
381,412,2,4486,4,33,2787,7,495,40,uncategorized
382,411,40,507,1,720,101,7,293,29,uncategorized
383,410,137,1425,16,92,5159,5,28,5,Rock
384,410,729,4057,32,988,561,6,1544,73,Trap
385,410,67,1393,0,251,1400,12,1870,194,uncategorized
386,410,31,1412,0,530,1103,8,477,48,uncategorized
387,409,32,1239,1,25,422,11,964,54,uncategorized
388,408,250,685,9,718,1866,3,496,59,Chiptune
389,408,81,90,0,46,172,12,4933,125,uncategorized
390,408,5,6,1,1500,136,6,353,24,uncategorized
391,407,95,4864,4,412,1715,8,939,82,uncategorized
392,407,3,687,9,251,2695,6,1716,91,uncategorized
393,407,72,1029,0,341,295,12,939,86,uncategorized
394,405,18,2282,2,40,1183,9,774,84,uncategorized
395,404,186,1420,1,1,6698,6,1724,118,uncategorized
396,404,27,1188,0,231,711,11,2868,165,uncategorized
397,403,246,363,0,109,673,4,2524,117,Trap
398,403,7,746,4,104,1436,9,1911,121,uncategorized
399,402,208,788,1,309,227,6,2725,122,Trap
400,400,112,5584,0,572,361,8,89,4,Trap
401,398,5,792,1,172,812,7,2234,34,Techno
402,397,4,32,1,4238,122,4,443,22,uncategorized
403,397,2,54,1,1402,138,7,481,39,uncategorized
404,397,71,1919,11,229,5414,7,18,5,Drum & Bass
405,396,8,132,4,2606,426,1,824,48,Industrial
406,396,1060,4772,1,341,7816,3,8000,415,Hip Hop
407,395,7,494,1,9,134,7,166,22,uncategorized
408,394,6,2727,0,6,1409,10,423,43,uncategorized
409,393,95,2102,4,91,400,10,834,69,uncategorized
410,393,261,1815,4,227,742,12,1555,75,uncategorized
411,392,97,1340,3,289,1339,9,2729,180,uncategorized
412,392,2,526,0,70,320,5,744,61,House
413,391,76,1908,9,31,1521,7,4530,185,Future Bass
414,390,132,5081,18,296,25244,1,100,25,Ambient
415,390,73,2523,5,321,1106,9,1646,114,uncategorized
416,389,1317,2953,12,314,10664,3,1680,113,Hardcore
417,389,7,5546,0,207,924,9,1513,80,uncategorized
418,388,9,1029,10,30,1463,4,2979,147,Trap
419,387,47,837,3,1063,247,8,657,59,uncategorized
420,385,154,1415,1,151,4775,6,1887,127,uncategorized
421,385,34,927,4,325,262,12,3991,120,uncategorized
422,384,38,335,2,1189,349,7,412,30,uncategorized
423,384,25,208,0,405,99,10,680,53,uncategorized
424,383,23,805,5,165,1375,5,94,8,Techno
425,383,522,1619,40,307,1755,8,1299,67,Hardcore
426,383,14,1522,3,154,1204,11,532,36,Soundtrack
427,382,46,1712,9,374,770,8,3517,155,uncategorized
428,382,19,1922,3,163,1494,7,433,42,uncategorized
429,380,98,933,10,878,270,11,1516,68,Hip Hop
